method,dataset_version,n_clusters,n_rows,n_features,training_time_seconds,prediction_time_seconds,iterations,accuracy,silhouette_score,davies_bouldin,compactness,separation,quality_metrics_status
KMeans Full 28,HIGGS.csv.gz(full),2,11000000,28,32.75651717185974,3.991663932800293,13,54.80231818181818,,,,,not_evaluated_due_to_scale
KMeans Full 28,sample_200k,2,200000,28,1.6321420669555664,0.0242724418640136,6,55.6385,0.1160107715359736,2.7149878273560084,17.511984775385173,2.10999946603576,evaluated_sampled_silhouette
KMeans PCA 5,sample_200k,2,200000,5,5.958060503005981,0.0183942317962646,14,55.678,0.3498281932792177,1.470113015725493,8.180057437722548,2.4178025061417534,evaluated_sampled_silhouette
KMeans PCA 10,sample_200k,2,200000,10,7.9921324253082275,0.0252611637115478,6,55.638,0.2651257832313626,1.9813737548501296,14.306274412530875,2.422995275632127,evaluated_sampled_silhouette
KMeans PCA 2,sample_200k,2,200000,2,6.864301443099976,0.0155897140502929,18,55.6195,0.4868122812236254,0.8774838108654917,3.6302388818008255,2.421753230560027,evaluated_sampled_silhouette
